S,K,PRICE,mu,T,C_IV
451.85,310,141.33,1.61E-06,0.005479452,1.31342
451.85,315,136.33,1.72E-06,0.005479452,1.2603
451.85,320,131.36,1.86E-06,0.005479452,1.20904
451.85,325,126.6,1.89E-06,0.005479452,1.15738
451.85,330,121.31,2.04E-06,0.005479452,1.10739
451.85,335,116.6,2.15E-06,0.005479452,1.0578
451.85,340,111.61,2.30E-06,0.005479452,1.00835
451.85,345,106.6,2.42E-06,0.005479452,0.96049
451.85,350,101.6,2.60E-06,0.005479452,0.91192
451.85,355,96.35,2.74E-06,0.005479452,0.86497
451.85,360,91.57,2.89E-06,0.005479452,0.81742
451.85,365,86.57,3.14E-06,0.005479452,0.7713
451.85,370,81.57,3.35E-06,0.005479452,0.72526
451.85,375,76.6,3.71E-06,0.005479452,0.6805
451.85,380,71.6,3.98E-06,0.005479452,0.63541
451.85,385,66.38,4.34E-06,0.005479452,0.59055
451.85,390,61.66,4.67E-06,0.005479452,0.54625
451.85,395,56.36,5.31E-06,0.005479452,0.50308
451.85,400,51.37,5.88E-06,0.005479452,0.50651
451.85,405,46.38,6.43E-06,0.005479452,0.46041
451.85,410,41.67,7.25E-06,0.005479452,0.41266
451.85,415,36.38,8.51E-06,0.005479452,0.36569
451.85,310,141.6,4.05E-06,0.016438356,0.83649
451.85,315,136.6,4.22E-06,0.016438356,0.8028
451.85,320,131.6,4.47E-06,0.016438356,0.76987
451.85,325,126.32,4.75E-06,0.016438356,0.73714
451.85,330,121.3,5.02E-06,0.016438356,0.70476
451.85,335,116.6,5.25E-06,0.016438356,0.67344
451.85,340,111.34,5.63E-06,0.016438356,0.64242
451.85,345,106.57,5.98E-06,0.016438356,0.6112
451.85,350,101.3,6.40E-06,0.016438356,0.58066
451.85,355,96.6,6.82E-06,0.016438356,0.55032
451.85,360,91.57,7.23E-06,0.016438356,0.52065
451.85,365,86.57,7.75E-06,0.016438356,0.49177
451.85,370,81.6,8.30E-06,0.016438356,0.46228
451.85,375,76.6,9.02E-06,0.016438356,0.4758
451.85,380,71.66,9.66E-06,0.016438356,0.44411
451.85,385,66.36,1.07E-05,0.016438356,0.41452
451.85,390,61.67,1.15E-05,0.016438356,0.3834
451.85,395,56.6,1.29E-05,0.016438356,0.37128
451.85,400,51.35,1.44E-05,0.016438356,0.33916
451.85,405,46.6,1.61E-05,0.016438356,0.32005
451.85,410,41.55,1.83E-05,0.016438356,0.28827
451.85,415,36.38,2.09E-05,0.016438356,0.25543
451.85,310,141.32,4.62E-06,0.019178082,0.77996
451.85,315,136.29,4.87E-06,0.019178082,0.74945
451.85,320,131.6,5.13E-06,0.019178082,0.71863
